{'Buffer_Time': 2020427391434054941, 'Switch_ID': 1}
{'Buffer_Time': 16648118981134434066L, 'Switch_ID': 2}
{'Buffer_Time': 16792234169208279588L, 'Switch_ID': 1}
{'Buffer_Time': 7136516568126941476, 'Switch_ID': 2}
{'Buffer_Time': 17368694921511692061L, 'Switch_ID': 2}
{'Buffer_Time': 5335076717176719039, 'Switch_ID': 1}
{'Buffer_Time': 17008406951320006678L, 'Switch_ID': 1}
{'Buffer_Time': 5551249499290469034, 'Switch_ID': 2}
{'Buffer_Time': 8505610854843506365, 'Switch_ID': 1}
{'Buffer_Time': 1443966639127572074, 'Switch_ID': 2}
{'Buffer_Time': 14270218377876734636L, 'Switch_ID': 1}
{'Buffer_Time': 16215773416901793641L, 'Switch_ID': 2}
{'Buffer_Time': 3821867238064427137, 'Switch_ID': 1}
{'Buffer_Time': 13405527249421601182L, 'Switch_ID': 2}
{'Buffer_Time': 507217916631486443, 'Switch_ID': 2}
{'Buffer_Time': 8433553259902252235, 'Switch_ID': 1}
{'Buffer_Time': 17440752514644251877L, 'Switch_ID': 2}
{'Buffer_Time': 4038040023587631377, 'Switch_ID': 1}
{'Buffer_Time': 9154129200281520829, 'Switch_ID': 2}
{'Buffer_Time': 13693757624668972731L, 'Switch_ID': 1}
{'Buffer_Time': 16143715821959525235L, 'Switch_ID': 2}
{'Buffer_Time': 1732197014371926313, 'Switch_ID': 1}
{'Buffer_Time': 1660139420335002573, 'Switch_ID': 2}
{'Buffer_Time': 17873098078866782255L, 'Switch_ID': 1}
{'Buffer_Time': 1371909044182289012, 'Switch_ID': 2}
{'Buffer_Time': 3965982429545688585, 'Switch_ID': 1}
{'Buffer_Time': 10955569051225702593L, 'Switch_ID': 2}
{'Buffer_Time': 2668945732550233486, 'Switch_ID': 1}
{'Buffer_Time': 2092484984558563248, 'Switch_ID': 2}
{'Buffer_Time': 4038040019269856586, 'Switch_ID': 1}
{'Buffer_Time': 9154129200274498603, 'Switch_ID': 2}
